trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.99, 'e': 0.7119999999999997}",30,17,-14.929326966978463,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
140,False,"{'a': 0.99, 'e': 0.7099999999999997}",20,0,-96.03781723868981,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
141,False,"{'a': 0.99, 'e': 0.7079999999999997}",25,0,-72.97263304054535,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
142,False,"{'a': 0.99, 'e': 0.7059999999999997}",25,14,-28.446937570702463,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
143,False,"{'a': 0.99, 'e': 0.7039999999999997}",35,0,-53.14544042568393,"{0: 28, 1: 2, 2: 4, 3: 0, 4: 1}",0
144,False,"{'a': 0.99, 'e': 0.7019999999999997}",35,0,-214.35530692039708,"{0: 24, 1: 2, 2: 3, 3: 2, 4: 4}",0
145,False,"{'a': 0.99, 'e': 0.6999999999999997}",20,0,-69.7356816016952,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
146,False,"{'a': 0.99, 'e': 0.6979999999999997}",20,9,-16.977926926480546,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
147,False,"{'a': 0.99, 'e': 0.6959999999999997}",20,0,-163.7119131486573,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
148,False,"{'a': 0.99, 'e': 0.6939999999999997}",25,3,-15.584361900638722,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
149,False,"{'a': 0.99, 'e': 0.6919999999999997}",25,0,-42.616538431442684,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",1
150,False,"{'a': 0.99, 'e': 0.6899999999999997}",20,0,-102.46761644807137,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
151,False,"{'a': 0.99, 'e': 0.6879999999999997}",20,0,-31.131858904797653,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
152,False,"{'a': 0.99, 'e': 0.6859999999999997}",30,0,-112.04991713345144,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
